#Site name:       Ny-Ålesund
#Abstract:        Tidevann og observert vannstand fra Ny-Ålesund
#Provider:        Statens kartverk sjø (Norwegian Hydrographic Service)
#Latitude:        78.92589000
#Longitude:       11.93140000
#Datum:           EUREF89
#Time interval:   3600 seconds
#Reference level: MSL (Middelvann (1996-2014))
#Z0: 95.2 cm
#Start time:      2023-07-01T01:00:00+02:00
#End time:        2023-08-01T01:00:00+02:00
#Unit:            cm
#Series1:         Water level observations
#Series2:         Predicted tide (astronomical)
#Series3:         Forecast
timestamp                observation astronomical_tide
2023-07-01T01:00:00+02:00    16.2    34.8        
2023-07-01T02:00:00+02:00     7.3    25.3        
2023-07-01T03:00:00+02:00   -10.1     8.6        
2023-07-01T04:00:00+02:00   -29.0   -10.7        
2023-07-01T05:00:00+02:00   -45.7   -27.2        
2023-07-01T06:00:00+02:00   -54.3   -36.7        
2023-07-01T07:00:00+02:00   -54.4   -36.5        
2023-07-01T08:00:00+02:00   -43.8   -26.7        
2023-07-01T09:00:00+02:00   -27.3    -9.8        
2023-07-01T10:00:00+02:00    -7.0    10.2        
2023-07-01T11:00:00+02:00     9.6    27.9        
2023-07-01T12:00:00+02:00    19.7    38.3        
2023-07-01T13:00:00+02:00    18.9    38.6        
2023-07-01T14:00:00+02:00     8.3    28.2        
2023-07-01T15:00:00+02:00   -12.1     9.1        
2023-07-01T16:00:00+02:00   -35.7   -14.5        
2023-07-01T17:00:00+02:00   -57.5   -36.6        
2023-07-01T18:00:00+02:00   -72.1   -51.8        
2023-07-01T19:00:00+02:00   -77.1   -56.4        
2023-07-01T20:00:00+02:00   -68.8   -49.2        
2023-07-01T21:00:00+02:00   -50.8   -31.7        
2023-07-01T22:00:00+02:00   -27.5    -8.1        
2023-07-01T23:00:00+02:00    -3.2    16.1        
2023-07-02T00:00:00+02:00    15.2    35.0        
2023-07-02T01:00:00+02:00    24.9    44.2        
2023-07-02T02:00:00+02:00    21.5    41.9        
2023-07-02T03:00:00+02:00     9.5    28.7        
2023-07-02T04:00:00+02:00   -12.4     7.7        
2023-07-02T05:00:00+02:00   -34.5   -15.3        
2023-07-02T06:00:00+02:00   -53.7   -34.2        
2023-07-02T07:00:00+02:00   -60.7   -44.1        
2023-07-02T08:00:00+02:00   -59.7   -42.7        
2023-07-02T09:00:00+02:00   -44.7   -30.2        
2023-07-02T10:00:00+02:00   -24.7    -9.8        
2023-07-02T11:00:00+02:00    -1.9    13.2        
2023-07-02T12:00:00+02:00    18.3    32.9        
2023-07-02T13:00:00+02:00    27.8    43.6        
2023-07-02T14:00:00+02:00    26.9    42.4        
2023-07-02T15:00:00+02:00    11.3    29.3        
2023-07-02T16:00:00+02:00   -10.9     6.7        
2023-07-02T17:00:00+02:00   -37.6   -20.0        
2023-07-02T18:00:00+02:00   -62.1   -44.0        
2023-07-02T19:00:00+02:00   -74.8   -59.0        
2023-07-02T20:00:00+02:00   -77.5   -61.5        
2023-07-02T21:00:00+02:00   -65.8   -50.6        
2023-07-02T22:00:00+02:00   -43.4   -28.8        
2023-07-02T23:00:00+02:00   -15.4    -1.1        
2023-07-03T00:00:00+02:00    11.2    25.8        
2023-07-03T01:00:00+02:00    31.0    45.2        
2023-07-03T02:00:00+02:00    37.1    52.7        
2023-07-03T03:00:00+02:00    32.4    47.0        
2023-07-03T04:00:00+02:00    13.0    29.2        
2023-07-03T05:00:00+02:00   -11.7     3.7        
2023-07-03T06:00:00+02:00   -38.2   -22.8        
2023-07-03T07:00:00+02:00   -57.9   -43.2        
2023-07-03T08:00:00+02:00   -66.5   -52.5        
2023-07-03T09:00:00+02:00   -62.2   -48.7        
2023-07-03T10:00:00+02:00   -45.3   -32.8        
2023-07-03T11:00:00+02:00   -21.3    -8.8        
2023-07-03T12:00:00+02:00     4.3    17.2        
2023-07-03T13:00:00+02:00    24.5    38.1        
2023-07-03T14:00:00+02:00    34.6    48.2        
2023-07-03T15:00:00+02:00    29.7    44.9        
2023-07-03T16:00:00+02:00    14.1    28.6        
2023-07-03T17:00:00+02:00   -14.3     2.6        
2023-07-03T18:00:00+02:00   -42.6   -26.7        
2023-07-03T19:00:00+02:00   -68.0   -51.4        
2023-07-03T20:00:00+02:00   -80.3   -65.2        
2023-07-03T21:00:00+02:00   -80.3   -64.6        
2023-07-03T22:00:00+02:00   -64.2   -49.5        
2023-07-03T23:00:00+02:00   -37.5   -23.3        
2023-07-04T00:00:00+02:00    -6.4     7.8        
2023-07-04T01:00:00+02:00    21.9    36.1        
2023-07-04T02:00:00+02:00    39.6    54.6        
2023-07-04T03:00:00+02:00    45.0    59.3        
2023-07-04T04:00:00+02:00    33.8    49.3        
2023-07-04T05:00:00+02:00    10.8    26.8        
2023-07-04T06:00:00+02:00   -18.8    -2.9        
2023-07-04T07:00:00+02:00   -46.7   -31.9        
2023-07-04T08:00:00+02:00   -66.2   -52.6        
2023-07-04T09:00:00+02:00   -73.7   -60.3        
2023-07-04T10:00:00+02:00   -65.4   -53.6        
2023-07-04T11:00:00+02:00   -44.4   -34.1        
2023-07-04T12:00:00+02:00   -18.0    -6.9        
2023-07-04T13:00:00+02:00    11.4    21.1        
2023-07-04T14:00:00+02:00    30.0    42.3        
2023-07-04T15:00:00+02:00    39.3    51.0        
2023-07-04T16:00:00+02:00    31.8    45.1        
2023-07-04T17:00:00+02:00    13.0    25.7        
2023-07-04T18:00:00+02:00   -17.6    -3.1        
2023-07-04T19:00:00+02:00   -47.3   -33.7        
2023-07-04T20:00:00+02:00   -72.1   -57.9        
2023-07-04T21:00:00+02:00   -82.5   -69.2        
2023-07-04T22:00:00+02:00   -78.3   -64.8        
2023-07-04T23:00:00+02:00   -57.2   -45.6        
2023-07-05T00:00:00+02:00   -27.7   -15.7        
2023-07-05T01:00:00+02:00     5.7    17.5        
2023-07-05T02:00:00+02:00    33.3    45.7        
2023-07-05T03:00:00+02:00    49.4    62.1        
2023-07-05T04:00:00+02:00    48.4    63.2        
2023-07-05T05:00:00+02:00    34.6    48.8        
2023-07-05T06:00:00+02:00     6.4    22.0        
2023-07-05T07:00:00+02:00   -26.3   -10.7        
2023-07-05T08:00:00+02:00   -55.7   -40.8        
2023-07-05T09:00:00+02:00   -75.3   -60.7        
2023-07-05T10:00:00+02:00   -80.1   -66.2        
2023-07-05T11:00:00+02:00   -69.1   -56.4        
2023-07-05T12:00:00+02:00   -46.7   -34.0        
2023-07-05T13:00:00+02:00   -16.1    -4.5        
2023-07-05T14:00:00+02:00    11.3    24.2        
2023-07-05T15:00:00+02:00    32.0    44.4        
2023-07-05T16:00:00+02:00    36.9    51.0        
2023-07-05T17:00:00+02:00    27.4    42.5        
2023-07-05T18:00:00+02:00     6.5    20.5        
2023-07-05T19:00:00+02:00   -27.0    -9.8        
2023-07-05T20:00:00+02:00   -55.9   -40.3        
2023-07-05T21:00:00+02:00   -79.4   -62.4        
2023-07-05T22:00:00+02:00   -85.6   -70.4        
2023-07-05T23:00:00+02:00   -77.8   -62.1        
2023-07-06T00:00:00+02:00   -53.9   -39.2        
2023-07-06T01:00:00+02:00   -21.7    -7.0        
2023-07-06T02:00:00+02:00    12.2    26.7        
2023-07-06T03:00:00+02:00    38.9    53.4        
2023-07-06T04:00:00+02:00    51.9    66.7        
2023-07-06T05:00:00+02:00    48.4    64.0        
2023-07-06T06:00:00+02:00    29.6    45.9        
2023-07-06T07:00:00+02:00    -0.4    16.0        
2023-07-06T08:00:00+02:00   -35.5   -18.3        
2023-07-06T09:00:00+02:00   -63.8   -48.0        
2023-07-06T10:00:00+02:00   -83.1   -66.1        
2023-07-06T11:00:00+02:00   -83.9   -69.0        
2023-07-06T12:00:00+02:00   -72.3   -56.7        
2023-07-06T13:00:00+02:00   -46.2   -32.3        
2023-07-06T14:00:00+02:00   -16.2    -2.3        
2023-07-06T15:00:00+02:00    11.2    25.6        
2023-07-06T16:00:00+02:00    29.6    43.8        
2023-07-06T17:00:00+02:00    31.9    48.0        
2023-07-06T18:00:00+02:00    20.9    37.2        
2023-07-06T19:00:00+02:00    -2.9    13.8        
2023-07-06T20:00:00+02:00   -35.0   -16.6        
2023-07-06T21:00:00+02:00   -63.2   -45.3        
2023-07-06T22:00:00+02:00   -82.7   -64.2        
2023-07-06T23:00:00+02:00   -86.0   -68.4        
2023-07-07T00:00:00+02:00   -74.6   -56.6        
2023-07-07T01:00:00+02:00   -48.2   -31.3        
2023-07-07T02:00:00+02:00   -16.5     1.6        
2023-07-07T03:00:00+02:00    16.4    34.0        
2023-07-07T04:00:00+02:00    39.3    58.0        
2023-07-07T05:00:00+02:00    49.0    68.0        
2023-07-07T06:00:00+02:00    41.4    61.9        
2023-07-07T07:00:00+02:00    20.7    41.1        
2023-07-07T08:00:00+02:00   -11.6     9.7        
2023-07-07T09:00:00+02:00   -45.3   -24.2        
2023-07-07T10:00:00+02:00   -72.4   -52.2        
2023-07-07T11:00:00+02:00   -87.7   -67.8        
2023-07-07T12:00:00+02:00   -88.1   -68.4        
2023-07-07T13:00:00+02:00   -74.0   -54.4        
2023-07-07T14:00:00+02:00   -48.2   -29.6        
2023-07-07T15:00:00+02:00   -19.7    -0.5        
2023-07-07T16:00:00+02:00     5.8    25.1        
2023-07-07T17:00:00+02:00    20.4    40.7        
2023-07-07T18:00:00+02:00    21.8    42.5        
2023-07-07T19:00:00+02:00    11.6    30.2        
2023-07-07T20:00:00+02:00   -13.0     6.7        
2023-07-07T21:00:00+02:00   -40.3   -22.1        
2023-07-07T22:00:00+02:00   -66.3   -47.7        
2023-07-07T23:00:00+02:00   -80.0   -62.9        
2023-07-08T00:00:00+02:00   -80.3   -63.6        
2023-07-08T01:00:00+02:00   -66.0   -49.3        
2023-07-08T02:00:00+02:00   -37.6   -23.3        
2023-07-08T03:00:00+02:00    -6.2     8.6        
2023-07-08T04:00:00+02:00    25.4    38.4        
2023-07-08T05:00:00+02:00    46.2    59.1        
2023-07-08T06:00:00+02:00    51.6    65.8        
2023-07-08T07:00:00+02:00    43.7    57.3        
2023-07-08T08:00:00+02:00    20.4    35.2        
2023-07-08T09:00:00+02:00    -9.4     4.2        
2023-07-08T10:00:00+02:00   -42.1   -27.8        
2023-07-08T11:00:00+02:00   -66.0   -52.9        
2023-07-08T12:00:00+02:00   -78.9   -65.9        
2023-07-08T13:00:00+02:00   -77.6   -64.6        
2023-07-08T14:00:00+02:00   -62.7   -50.1        
2023-07-08T15:00:00+02:00   -40.0   -26.3        
2023-07-08T16:00:00+02:00   -12.9     0.5        
2023-07-08T17:00:00+02:00     8.8    23.1        
2023-07-08T18:00:00+02:00    21.7    35.8        
2023-07-08T19:00:00+02:00    20.6    35.8        
2023-07-08T20:00:00+02:00     8.9    23.1        
2023-07-08T21:00:00+02:00   -13.1     0.8        
2023-07-08T22:00:00+02:00   -39.8   -25.1        
2023-07-08T23:00:00+02:00   -60.6   -46.9        
2023-07-09T00:00:00+02:00   -72.6   -58.4        
2023-07-09T01:00:00+02:00   -70.1   -56.5        
2023-07-09T02:00:00+02:00   -55.4   -41.3        
2023-07-09T03:00:00+02:00   -29.9   -16.2        
2023-07-09T04:00:00+02:00    -0.9    13.0        
2023-07-09T05:00:00+02:00    25.1    39.4        
2023-07-09T06:00:00+02:00    41.6    56.6        
2023-07-09T07:00:00+02:00    45.4    60.7        
2023-07-09T08:00:00+02:00    34.9    51.0        
2023-07-09T09:00:00+02:00    13.5    29.2        
2023-07-09T10:00:00+02:00   -16.1     0.2        
2023-07-09T11:00:00+02:00   -44.7   -28.7        
